Number,deleted,Level3Code,Name,deleteddate
,0,0,Not Specified,00:00.0
,0,2,Human Resources,00:00.0
,0,12,Industrial Engineering,00:00.0
,1,0,Not Specified,00:00.0
,1,2,Human Resources,00:00.0
,1,3,MIHCM Lite,00:00.0
,1,6,Customer Service,00:00.0
,1,9,Systems Engineering,00:00.0
,1,12,Industrial Engineering,00:00.0
,1,16,Database Administration,00:00.0
00001T,1,0,Not Specified,00:00.0
6498,1,0,Not Specified,00:00.0
6502,1,0,Not Specified,00:00.0
6506,1,12,Industrial Engineering,00:00.0
6510,1,0,Not Specified,00:00.0
6515,1,12,Industrial Engineering,00:00.0
6521,1,0,Not Specified,00:00.0
6537,1,0,Not Specified,00:00.0
6538,1,0,Not Specified,00:00.0
6539,1,0,Not Specified,00:00.0
6542,1,0,Not Specified,00:00.0
6551,1,0,Not Specified,00:00.0
6552,1,0,Not Specified,00:00.0
6553,1,0,Not Specified,00:00.0
6554,1,0,Not Specified,00:00.0
6557,1,0,Not Specified,00:00.0
6559,1,0,Not Specified,00:00.0
6562,1,0,Not Specified,00:00.0
6563,1,4,Feedback Management,00:00.0
6564,1,4,Feedback Management,00:00.0
6566,1,0,Not Specified,00:00.0
6567,1,0,Not Specified,00:00.0
6568,1,0,Not Specified,00:00.0
6569,1,0,Not Specified,00:00.0
6570,1,0,Not Specified,00:00.0
6572,1,0,Not Specified,00:00.0
6576,1,0,Not Specified,00:00.0
6583,1,0,Not Specified,00:00.0
6588,1,0,Not Specified,00:00.0
6589,1,0,Not Specified,00:00.0
6592,1,0,Not Specified,00:00.0
6603,1,0,Not Specified,00:00.0
6605,1,0,Not Specified,00:00.0
1111,1,0,Not Specified,00:00.0
280,1,0,Not Specified,00:00.0
4,1,12,Industrial Engineering,00:00.0
5,1,0,Not Specified,00:00.0
110,1,0,Not Specified,00:00.0
10001000,1,0,Not Specified,00:00.0
10001006,1,0,Not Specified,00:00.0
10001007,1,0,Not Specified,00:00.0
10001008,0,2,Human Resources,00:00.0
10001008,1,0,Not Specified,00:00.0
1010,1,0,Not Specified,00:00.0
111,0,12,Industrial Engineering,00:00.0
11122,1,0,Not Specified,00:00.0
123,1,0,Not Specified,00:00.0
12321,1,0,Not Specified,00:00.0
1234,1,0,Not Specified,00:00.0
12855,1,4,Feedback Management,00:00.0
12908,1,0,Not Specified,00:00.0
17199,1,0,Not Specified,00:00.0
17202,1,3,MIHCM Lite,00:00.0
17224,1,0,Not Specified,00:00.0
17277,1,0,Not Specified,00:00.0
181001,1,0,Not Specified,00:00.0
18551,1,0,Not Specified,00:00.0
18660,1,0,Not Specified,00:00.0
18710,1,2,Human Resources,00:00.0
18997,1,0,Not Specified,00:00.0
19000,0,2,Human Resources,00:00.0
19005,1,0,Not Specified,00:00.0
19005,1,2,Human Resources,00:00.0
19006,1,0,Not Specified,00:00.0
19016,1,0,Not Specified,00:00.0
19028,1,0,Not Specified,00:00.0
19244,1,0,Not Specified,00:00.0
19251,1,0,Not Specified,00:00.0
19266,1,0,Not Specified,00:00.0
19456,1,0,Not Specified,00:00.0
19460,1,0,Not Specified,00:00.0
19463,1,0,Not Specified,00:00.0
19472,1,3,MIHCM Lite,00:00.0
19500,1,2,Human Resources,00:00.0
19552,1,0,Not Specified,00:00.0
1SUM123,1,2,Human Resources,00:00.0
2211,1,0,Not Specified,00:00.0
256856,0,12,Industrial Engineering,00:00.0
256856,1,0,Not Specified,00:00.0
280229012,1,34,Production,00:00.0
285636,1,3,MIHCM Lite,00:00.0
36123,1,0,Not Specified,00:00.0
3636,1,0,Not Specified,00:00.0
4040,0,2,Human Resources,00:00.0
45,1,0,Not Specified,00:00.0
48695,1,0,Not Specified,00:00.0
5,1,0,Not Specified,00:00.0
5555,1,0,Not Specified,00:00.0
6395,1,0,Not Specified,00:00.0
6500,0,0,Not Specified,00:00.0
674563,1,0,Not Specified,00:00.0
678905,1,16,Database Administration,00:00.0
679,1,12,Industrial Engineering,00:00.0
968,1,0,Not Specified,00:00.0
A158,1,0,Not Specified,00:00.0
A657234,1,0,Not Specified,00:00.0
AA00005,1,5,Service Quality,00:00.0
AA00008,1,0,Not Specified,00:00.0
AKL001,1,0,Not Specified,00:00.0
AMT00897,1,0,Not Specified,00:00.0
ASD321123,1,0,Not Specified,00:00.0
asia001,0,2,Human Resources,00:00.0
ATT0157,0,2,Human Resources,00:00.0
ausi0002,1,0,Not Specified,00:00.0
ausi0004,1,0,Not Specified,00:00.0
BMIT78456,1,0,Not Specified,00:00.0
CCRD0039,0,2,Human Resources,00:00.0
CCRD0041,1,0,Not Specified,00:00.0
CCRD0042,1,0,Not Specified,00:00.0
CCRD0043,1,0,Not Specified,00:00.0
CCRD0044,1,0,Not Specified,00:00.0
CCRD0046,1,0,Not Specified,00:00.0
CCRD0049,0,2,Human Resources,00:00.0
